Ticket,Summary,Type,Status,Priority,Reporter,Assignee,Classification,Source References,Explanation
PAYM-6,Project Planning,Epic,New,Medium,Karen Mangan,Andrew Humann,In Scope,SOW 3.1; TL 'Original Timeline' — Project Governance row,SOW 3.1 explicitly includes project management activities. Parent epic.
PAYM-8,Testing,Epic,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — PPT1/PPT2/PPT3 rows,SOW 3.5 commits to functional testing and parallel runs. Parent epic.
PAYM-9,Go Live,Epic,New,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.7; TL 'Revised PPT' — Go-Live section,SOW 3.7 covers go-live preparation and hypercare. Parent epic.
PAYM-12,Schedule Reporting Workshop,Task,New,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.2; SOW 3.6; RW 'Custom reports and dashboards' (Custom),Discovery workshop and training on reports/dashboards. RW explicitly calls for user training.
PAYM-45,Minimum Sleepover is not working as expected,Bug,Open,High,Anita Maehrle,Lennon McGrath,Scope Creep,SOW Gap 2 wording does not cover this,"SOW Gap 2 says 'compliance hours at the lower rate'. Minimum sleepover top-up (IFA-specific, PH/Saturday/casual variants) is bespoke business logic well beyond the gap wording."
PAYM-49,SIT Exit Sign Off,Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Original Timeline' — SIT Testing and Sign Off row,Standard testing gate confirming readiness for UAT.
PAYM-53,REGRESSION Defect Analysis & Reporting,Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — Post PPT defect resolution rows,Regression analysis integral to parallel runs. Timeline schedules defect resolution windows.
PAYM-69,PPT Run 1 (Historical Closed Period),Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — PPT1 row; TL 'PPT1-PPT2' sheet,"SOW 3.5 commits to parallel run support. ~2,000 SWs, ~7,000 bookings."
PAYM-70,PPT2 Run 2 (Current Open Period),Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — PPT2 row; TL 'PPT1-PPT2' sheet,Second parallel run using current open period in production.
PAYM-71,PPT Run 3 (Cutover Simulation),Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — PPT3 row,Final parallel run before go-live (cutover simulation).
PAYM-72,PPT Reconciliation and Variance Analysis,Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; RW 'Parallel runs & validation' (Standard); TL 'Revised PPT' — reconciliation row,Core purpose of parallel runs. RW calls for comparing 2c9 vs current payroll.
PAYM-73,PPT Defect Resolution & Re Runs,Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — Post PPT1/PPT2 defect resolution rows,Defect resolution between parallel runs with target completion dates.
PAYM-74,PPT Exit Sign Off,Task,New,Medium,Karen Mangan,Sameer Gundu,In Scope,SOW 3.5; TL 'Revised PPT' — Go/No-go decision rows,Formal gate confirming parallel testing complete and system ready for go-live.
PAYM-80,Delivery of Training,Task,In Review,Medium,Karen Mangan,Andrew Humann,In Scope,SOW 3.6; SOW Section 4 Deliverables; TL 'Revised PPT' — PAYM-80 row,SOW 3.6 commits to in-person end-user sessions. Timeline references ticket by number.
PAYM-87,PIA Privacy Assessment for 2c9,Task,Open,Medium,Karen Mangan,Paul Joseph,In Scope,SOW Appendix A — Security Deliverables; RW 'Roles and permissions' (Standard),SOW Appendix A commits to security activities including secure configuration baselines.
PAYM-90,Support Model Approach and Sign Off,Task,Blocked,Medium,Karen Mangan,Paul Joseph,In Scope,SOW 3.7; TL 'Original Timeline' — Support/Operating Model row,SOW 3.7 covers post go-live support. Timeline includes formal sign-off milestone.
PAYM-91,Support Model Content and Sign Off,Task,New,Medium,Karen Mangan,Paul Joseph,In Scope,SOW 3.7; TL 'Original Timeline' — Support Model Content row,Content deliverable accompanying PAYM-90. Timeline includes separate sign-off milestone.
PAYM-92,PPT Portal Access & Review,Task,In Review,Medium,Karen Mangan,Heidi Simoniuk,In Scope,RW 'Employee portal capabilities' (Standard); DW 'EMPLOYEE & APPROVER PORTAL' sheet,Portal is Standard in RW. Portal access needed for PPT testing of leave/PH workflows.
PAYM-98,Finance GL Report Build — Location requirements,Task,Open,Medium,Karen Mangan,Julian McGrath,Scope Creep,"Not in SOW, RW, or DW",Dual-location columns (primary + service delivery) on GL report is a custom reporting enhancement not identified during discovery.
PAYM-112,[Test] Bank ABA File,Story,In Review,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.3; RW 'Master payroll data setup' (Standard); TL — Build 2 row; DW 'PAYMENT ENTITY' sheet,Bank ABA file is standard payroll output. Timeline lists it as specific build item.
PAYM-113,[Test] Super Clearing File,Story,In Review,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.3; RW 'Stapled super' (Custom); TL — Build 3 row; DW 'DEFAULT SUPERANNUATION' sheet,Super clearing house file is standard payroll integration. Timeline lists as build item.
PAYM-114,[Test] ATO Integration,Story,New,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.3; TL 'Original Timeline' — Build 4 row,ATO/STP integration is standard payroll compliance. Timeline lists as build item.
PAYM-115,[Test] GL Integration (Netsuite),Story,New,Medium,Karen Mangan,Heidi Simoniuk,In Scope,SOW 3.3 ('GL and cost code set up … export files to Netsuite'); TL — Build 5 row,SOW 3.3 explicitly names GL integration with Netsuite.
PAYM-121,Build Integration — Project Evolution CR1 changes,Story,In Review,Medium,Karen Mangan,Julian McGrath,In Scope,RW-PE 'Project Evolution' sheet; TL — Build 11 row ('CR1 SO'); RAID R01,CR1 formally approved as Change Request. Timeline records sign-off. RAID tracks as approved.
PAYM-123,SACS Project Codes,Task,Open,Low,Karen Mangan,Lennon McGrath,In Scope,RW 'Short shift and penalty pay codes' (Custom); SOW Section 4 Gap 7,"SACS project codes (2.1, 2.2, 2.3) enable manual override. RW includes Custom user story."
