=== SHEET: 1. Executive Summary ===
Hireup JIRA Scope Analysis — Finalised Report			
Project	Hireup Payroll Implementation		
SOW Reference	SOW No. 20250717H		
SOW Value	$170,000 (fixed price)		
SOW Date	August 2025		
Analysis Date	16 April 2026		
Prepared By	2cloudnine		
Review Method	Multi-agent independent review (3 passes)		
CLASSIFICATION SUMMARY			
Category	Count	% of Total	
In Scope	63	65%	
Scope Creep / Feature Request	19	20%	
Borderline	15	15%	
Total	97	100%	
COMMERCIAL EXPOSURE SUMMARY			
	Low Estimate	High Estimate	% of SOW
Scope Creep CRs (19 tickets)	$44,000	$59,000	26-35%
Borderline — Negotiate (7 tickets)	$10,000	$18,000	6-11%
Borderline — CR (3 tickets)	$5,000	$10,000	3-6%
Borderline — Absorb (5 tickets)	$0	$0	Goodwill
Goodwill Concessions	($13,000)	($20,000)	Relationship investment
Net Recoverable Target	$46,000	$67,000	27-39%
RECOMMENDED CR PACKAGING			
CR	Description	Est. Value	Priority
CR-1	Sleepover Engine Extension (7 tickets)	$20k-$25k	Raise immediately — strongest position
CR-2	Portable LSL Compliance (3 tickets)	$25k-$35k	Raise immediately — zero ambiguity
CR-3	Enhancements & Integrations bundle (9 tickets)	$14k-$20k	Raise after CR-1/CR-2 — negotiation flex
	Package discount (all 3 CRs)	10-15% off	Incentivise single approval
KEY FINDINGS			
#	Finding	Commercial Impact	
1	Sleepover Engine Extension (7 tickets) — SOW Gap 2 is narrowly worded: 'compliance hours at the lower rate'. Minimum top-ups, 18+ hour logic, back-to-back scenarios, OT aggregation, and midday penalties are all beyond this.	Largest CR — $20-25k	
2	Portable LSL (3 tickets) — New compliance stream not in SOW, Requirements Workbook, or Discovery Workbook.	Separate CR — $25-35k	
3	Hibiscus Release (PAYM-262) — SOW Section 5 Assumption 8 explicitly excludes future product releases.	CR required for any adoption work	
4	Simplification Cluster (4 tickets, PAYM-327-330) — Rework of initial designs. SOW commits to one build cycle. Shared accountability.	Negotiate 50/50 cost share	
5	Custom UI Widget (PAYM-334) — Already built per JIRA comments. Must be commercially reconciled.	Reconcile as consumed work	
6	Min Contracted Hours (PAYM-271) — JIRA comments acknowledge 'most likely will be a change request'.	CR — client pre-acknowledges	
TOP ACTIONS			
#	Action	Timing	
1	Raise CR-1 (Sleepover) and CR-2 (Portable LSL) with Hireup	Before PPT2 completes	
2	Resolve Simplification cluster (327-330) — shared accountability discussion	This week	
3	Flag PAYM-334 (custom widget) — already built, must be reconciled	Next commercial meeting	
4	Absorb 5 borderline items as goodwill to strengthen CR positions	Proactively communicate	
5	Prepare formal CR documentation with SOW clause citations	Before client meeting	
SOW SCOPE REFERENCE			
Section	Scope		
3.1	Project Management and Governance		
3.2	Discovery and Design (SCHADS MA000100 interpretation)		
3.3	Installation and Configuration (Payroll, Award Interpretation, GL/Netsuite, Salesforce UI)		
3.4	Data Migration (one UAT, one pre-Go-Live)		
3.5	Testing (functional testing, UAT, parallel runs — 2 full pay cycles)		
3.6	Training (end-user and administrator)		
3.7	Go-Live and Post Go-Live Support (hypercare — 2 full pay cycles)		
3.8	Consultant Support (meetings, ad hoc, tech support for Hireup integration)		
SOW SECTION 4 — GAP DELIVERABLES			
Gap	Description		
1	Day Penalties / Loading (midnight crossing fix)		
2	Sleepover Booking Configuration (compliance hours at lower rate)		
3	Broken Shift — Rest break >= 10 hour ends a broken shift		
4	Broken Shift Across Pay Periods		
5	Consolidated Payslips for Retrospective Bookings		
6	Short Shifts		
7	Discretionary Allowance display on pay advice		
Flame Trees Release			
	Public Holiday Trigger (location-based)		
	Pay Batch Automation		
DOCUMENT ABBREVIATIONS			
Abbreviation	Document		
SOW	Hireup SOW — Final — August 25.docx (SOW No. 20250717H)		
RW	Requirements workbook — Hireup Requirements sheet		
RW-PE	Requirements workbook — Project Evolution sheet		
DW	Payroll Discovery Workbook FINAL 20260115.xlsx		
RAID	Hireup — RAID.xlsx		
TL	Timeline (version 3) High Level.xlsx		

=== SHEET: 2. All Tickets ===
Ticket	Summary	Type	Status	Priority	Classification	Source References	Explanation
PAYM-6	Project Planning	Epic	New	Medium	In Scope	SOW 3.1; TL 'Original Timeline' — Project Governance row	SOW 3.1 explicitly includes project management activities. Parent epic.
PAYM-8	Testing	Epic	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — PPT1/PPT2/PPT3 rows	SOW 3.5 commits to functional testing and parallel runs. Parent epic.
PAYM-9	Go Live	Epic	New	Medium	In Scope	SOW 3.7; TL 'Revised PPT' — Go-Live section	SOW 3.7 covers go-live preparation and hypercare. Parent epic.
PAYM-12	Schedule Reporting Workshop	Task	New	Medium	In Scope	SOW 3.2; SOW 3.6; RW 'Custom reports and dashboards' (Custom)	Discovery workshop and training on reports/dashboards.
PAYM-45	Minimum Sleepover is not working as expected	Bug	Open	High	Scope Creep	SOW Gap 2 wording does not cover this	Minimum sleepover top-up (IFA-specific) is bespoke business logic beyond Gap 2 wording.
PAYM-49	SIT Exit Sign Off	Task	New	Medium	In Scope	SOW 3.5; TL 'Original Timeline' — SIT row	Standard testing gate confirming readiness for UAT.
PAYM-53	REGRESSION Defect Analysis & Reporting	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — Post PPT defect resolution rows	Regression analysis integral to parallel runs.
PAYM-69	PPT Run 1 (Historical Closed Period)	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — PPT1 row	SOW 3.5 commits to parallel run support.
PAYM-70	PPT2 Run 2 (Current Open Period)	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — PPT2 row	Second parallel run using current open period.
PAYM-71	PPT Run 3 (Cutover Simulation)	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — PPT3 row	Final parallel run before go-live.
PAYM-72	PPT Reconciliation and Variance Analysis	Task	New	Medium	In Scope	SOW 3.5; RW 'Parallel runs & validation'; TL reconciliation row	Core purpose of parallel runs.
PAYM-73	PPT Defect Resolution & Re Runs	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — Post PPT defect resolution rows	Defect resolution between parallel runs.
PAYM-74	PPT Exit Sign Off	Task	New	Medium	In Scope	SOW 3.5; TL 'Revised PPT' — Go/No-go decision rows	Formal gate confirming system ready for go-live.
PAYM-80	Delivery of Training	Task	In Review	Medium	In Scope	SOW 3.6; TL 'Revised PPT' — PAYM-80 row	SOW 3.6 commits to in-person end-user sessions.
PAYM-87	PIA Privacy Assessment for 2c9	Task	Open	Medium	In Scope	SOW Appendix A — Security; RW 'Roles and permissions'	SOW Appendix A commits to security activities.
PAYM-90	Support Model Approach and Sign Off	Task	Blocked	Medium	In Scope	SOW 3.7; TL 'Original Timeline' — Support Model row	SOW 3.7 covers post go-live support.
PAYM-91	Support Model Content and Sign Off	Task	New	Medium	In Scope	SOW 3.7; TL 'Original Timeline' — Support Model Content row	Content deliverable for support model.
PAYM-92	PPT Portal Access & Review	Task	In Review	Medium	In Scope	RW 'Employee portal capabilities' (Standard); DW 'EMPLOYEE & APPROVER PORTAL'	Portal is Standard in RW.
PAYM-98	Finance GL Report Build — Location requirements	Task	Open	Medium	Scope Creep	Not in SOW, RW, or DW	Dual-location columns on GL report — custom enhancement not in discovery.
PAYM-112	[Test] Bank ABA File	Story	In Review	Medium	In Scope	SOW 3.3; RW 'Master payroll data setup'; TL Build 2 row	Standard payroll output. Timeline lists as build item.
PAYM-113	[Test] Super Clearing File	Story	In Review	Medium	In Scope	SOW 3.3; RW 'Stapled super' (Custom); TL Build 3 row	Standard payroll integration. Timeline lists as build item.
PAYM-114	[Test] ATO Integration	Story	New	Medium	In Scope	SOW 3.3; TL Build 4 row	Standard payroll compliance. Timeline lists as build item.
PAYM-115	[Test] GL Integration (Netsuite)	Story	New	Medium	In Scope	SOW 3.3 ('GL and cost code set up'); TL Build 5 row	SOW 3.3 explicitly names GL/Netsuite.
PAYM-121	Build Integration — Project Evolution CR1	Story	In Review	Medium	In Scope	RW-PE 'Project Evolution'; TL Build 11 ('CR1 SO'); RAID R01	CR1 formally approved. Timeline records sign-off.
